"","gender_person_1","gender_person_2","gender_person_3","gender_person_4","gender_person_5","gender_person_6","gender_person_7","gender_person_8","gender_person_9","gender_person_10","total_people_pictured","total_women","total_men","total_ambiguous","building_code","clean_img_name"
"115",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4017"
"116",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4017"
"117",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4018"
"118",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4018"
"119",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4019"
"120",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4019"
"121",2,1,1,2,2,NA,NA,NA,NA,NA,"5",NA,NA,NA,1,"IMG_4019"
"122",1,2,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,1,"IMG_4019"
"123",2,2,2,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,1,"IMG_4020"
"124",2,2,2,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,1,"IMG_4020"
"125",2,2,1,1,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,1,"IMG_4020"
"126",2,2,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,1,"IMG_4020"
"127",1,1,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,1,"IMG_4020"
"128",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4021"
"129",2,2,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,1,"IMG_4021"
"130",2,1,1,2,2,NA,NA,NA,NA,NA,"5",NA,NA,NA,1,"IMG_4022"
"131",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4022"
"132",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4022"
"133",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4022"
"134",2,2,1,2,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,1,"IMG_4023"
"135",2,2,2,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,1,"IMG_4023"
"136",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4023"
"137",2,2,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,1,"IMG_4024"
"138",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4025"
"139",2,2,2,2,1,NA,NA,NA,NA,NA,"5",NA,NA,NA,1,"IMG_4026"
"140",2,2,2,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,1,"IMG_4027"
"141",2,2,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,1,"IMG_4027"
"142",0,0,2,2,2,1,1,0,0,0,"10",NA,NA,NA,1,"IMG_4028"
"143",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4028"
"144",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4029"
"145",2,2,2,2,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,1,"IMG_4029"
"146",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4030"
"147",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4030"
"148",2,1,2,2,2,2,2,2,2,1,"10",NA,NA,NA,1,"IMG_4031"
"149",2,2,2,2,2,2,2,1,2,2,"10",NA,NA,NA,1,"IMG_4031"
"150",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4032"
"151",0,2,0,2,2,NA,NA,NA,NA,NA,"5",NA,NA,NA,1,"IMG_4035"
"152",0,1,2,2,2,0,NA,NA,NA,NA,"6",NA,NA,NA,1,"IMG_4036"
"153",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4050"
"154",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4050"
"155",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4050"
"156",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4050"
"157",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_4050"
