"","article.cond","gender.cond","participant.gender","image.cond","z.interest.all","z.lead.all","z.dd.id.all","z.dd.belonging.all","z.dd.threat.all","z.dd.challenge.all","z.selfeff.all","z.pj.fit.all","z.confidence.all","interest.all","lead.all","dd.id.all","dd.belonging.all","dd.threat.all","dd.challenge.all","selfeff.all","pj.fit.all","confidence.all","interest_2","interest_3","interest_5","interest_6","interest_7","interest_8","interest_10","interest_11","interest_13","interest_15","interest_16","interest_18","interest_1R","interest_4R","interest_9R","interest_12R","interest_14R","interest_17R","lead_1","lead_2","lead_3","lead_4","lead_5","lead_6","dd.important","dd.useful","dd.care","dd.school_11","dd.school_12","dd.school_13R","dd.school_14R","dd.school_1","dd.school_2","dd.school_3","dd.school_4","dd.school_5","dd.school_6","dd.school_7","dd.school_8","dd.school_9","dd.school_10","dd.graduate","dd.prof","selfeff_1","selfeff_3","selfeff_2R","selfeff_4R","pj.fit_1","pj.fit_2","pj.fit_3","pj.fit_4","pj.fit_5","confidence_1","confidence_2","confidence_3","gender.belief_1","gender.belief_2","gender.belief_3","interest.rep.items","selfeff.interest.rep.items","age","race.cat.collapse"
"286","shell","Female scientist","Men","Pictured",-0.264366251874081,-0.467435937649068,-2.77239504419869,-0.791041364402147,-1.04553112071932,-0.985041694986581,-0.0713535168780458,-0.151632456135445,-0.532575635507372,5.83333333333333,5.83333333333333,4,4,4,4.2,5,5.4,5,6,5,6,6,5,7,6,6,6,4,5,5,6,6,7,7,6,6,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,2,6,6,4,5,5,6,6,4,5,6,5,5,5,4,4,4,4.6,5.8,19,"White"
"287","against","Male scientist","Men","Not pictured",-0.799929924921314,-0.467435937649068,-1.13742403085817,-1.17374820160751,-0.299357678574691,0.234978350620811,-0.315994146174202,0.375421046569826,0.0391349508519797,5.44444444444444,5.83333333333333,5.33333333333333,3.5,5,5.6,4.75,6,5.66666666666667,6,6,6,6,6,2,6,6,4,5,6,5,6,6,4,6,6,6,6,6,6,6,5,6,5,6,5,4,3,3,4,5,5,5,5,5,6,5,6,6,5,4,6,5,6,3,5,6,6,6,6,6,5,6,6,8,8,8,4.4,5.13333333333333,18,"All other races"
"288","against","Male scientist","Women","Pictured",-0.41738444417329,-0.467435937649068,-0.319938524187914,-0.0256276899914305,-0.896296432290395,0.0606897726768983,-0.560634775470358,0.199736545668069,-0.532575635507372,5.72222222222222,5.83333333333333,6,5,4.2,5.4,4.5,5.8,5,5,5,6,6,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,6,3,6,6,5,5,2,3,6,5,6,5,5,2,6,5,5,3,5,6,6,6,5,6,5,5,5,7,7,7,4.65,5.33333333333333,21,"Asian"
"289","shell","Male scientist","Men","Pictured",-0.876439021070919,0.244847395911417,0.906289735817475,-1.55645503881286,0.148346386712087,-0.636464539098755,-1.53919729265498,-0.678685958840716,-0.532575635507372,5.38888888888889,6.5,7,3,5.6,4.6,3.5,4.8,5,7,5,5,6,6,7,5,5,5,3,5,5,3,4,6,6,7,7,6,6,7,7,7,6,7,7,7,3,5,2,2,7,7,6,4,4,7,2,5,5,4,7,6,4,3,3,4,5,5,5,3,6,5,5,5,8,8,8,4.65,5.26666666666667,21,"White"
"290","genes","Male scientist","Men","Not pictured",-0.0348389634252659,-0.289365104258947,-0.319938524187914,-0.791041364402147,0.44681576356994,0.583555506508638,1.15184962960273,0.375421046569826,0.324990244031655,6,6,6,4,6,6,6.25,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,7,7,7,4.8,4.66666666666667,19,"White"
"291","against","Female scientist","Men","Pictured",0.883270190369993,0.600989062691659,0.497546982482345,-0.21698110859411,0.44681576356994,1.10642124034038,0.417927741714266,1.07815905017685,1.18255612357068,6.66666666666667,6.83333333333333,6.66666666666667,4.75,6,6.6,5.5,6.8,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,5,6,6,7,7,7,7,7,7,6,7,5,5,4,5,6,6,6,6,6,7,6,7,7,6,7,5,6,4,5,7,7,7,7,6,7,7,7,7,4,4,4,5.05,6.46666666666667,20,"Asian"
"292","against","Female scientist","Women","Pictured",0.883270190369993,0.779059896081781,0.906289735817475,0.739785984419286,1.04375451728564,0.757844084452551,0.417927741714266,1.25384355107861,0.610845537211331,6.66666666666667,7,7,6,6.8,6.2,5.5,7,6.33333333333333,6,7,6,7,7,7,7,7,6,5,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,7,6,7,6,6,6,6,3,6,5,6,5,6,7,7,7,7,7,7,6,6,8,8,8,5.05,6.53333333333333,21,"White"
"293","genes","Male scientist","Women","Not pictured",0.730251998070783,0.244847395911417,0.906289735817475,1.12249282162464,-2.0901739397218,0.757844084452551,0.417927741714266,-0.503001457938959,-0.532575635507372,6.55555555555556,6.5,7,6.5,2.6,6.2,5.5,5,5,7,7,7,7,7,7,7,4,7,4,6,6,7,7,7,7,7,7,7,6,6,7,7,6,7,7,7,6,6,7,7,5,2,2,2,2,6,6,7,6,6,5,7,3,6,7,6,6,5,6,4,4,5,5,5,6,8,8,4.8,6,19,"Asian"
"294","against","Female scientist","Men","Not pictured",0.883270190369993,0.779059896081781,0.906289735817475,1.50519965883,-2.38864331657966,1.4549983962282,1.8857715174912,1.25384355107861,1.18255612357068,6.66666666666667,7,7,7,2.2,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,4.9,6.2,19,"Asian"
"295","against","Female scientist","Men","Pictured",0.271197421173154,-0.289365104258947,0.0888042291472151,-0.408334527196789,-0.299357678574691,0.234978350620811,-0.315994146174202,-0.151632456135445,0.324990244031655,6.22222222222222,6,6.33333333333333,4.5,5,5.6,4.75,5.4,6,7,7,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,4,4,4,6,6,6,6,4,3,5,6,6,6,5,7,7,5,5,3,6,5,5,5,6,6,6,6,6,7,7,8,4.9,5.46666666666667,19,"All other races"
