"","article.cond","gender.cond","participant.gender","image.cond","z.interest.all","z.lead.all","z.dd.id.all","z.dd.belonging.all","z.dd.threat.all","z.dd.challenge.all","z.selfeff.all","z.pj.fit.all","z.confidence.all","interest.all","lead.all","dd.id.all","dd.belonging.all","dd.threat.all","dd.challenge.all","selfeff.all","pj.fit.all","confidence.all","interest_2","interest_3","interest_5","interest_6","interest_7","interest_8","interest_10","interest_11","interest_13","interest_15","interest_16","interest_18","interest_1R","interest_4R","interest_9R","interest_12R","interest_14R","interest_17R","lead_1","lead_2","lead_3","lead_4","lead_5","lead_6","dd.important","dd.useful","dd.care","dd.school_11","dd.school_12","dd.school_13R","dd.school_14R","dd.school_1","dd.school_2","dd.school_3","dd.school_4","dd.school_5","dd.school_6","dd.school_7","dd.school_8","dd.school_9","dd.school_10","dd.graduate","dd.prof","selfeff_1","selfeff_3","selfeff_2R","selfeff_4R","pj.fit_1","pj.fit_2","pj.fit_3","pj.fit_4","pj.fit_5","confidence_1","confidence_2","confidence_3","gender.belief_1","gender.belief_2","gender.belief_3","interest.rep.items","selfeff.interest.rep.items","age","race.cat.collapse"
"1","against","Female scientist","Men","Pictured",0.347706517322758,0.0667765625212955,0.906289735817475,-0.21698110859411,-0.747061743861469,0.757844084452551,-0.315994146174202,0.375421046569826,0.896700830391007,6.27777777777778,6.33333333333333,7,4.75,4.4,6.2,4.75,6,6.66666666666667,6,7,6,6,5,7,7,6,6,6,7,6,6,7,5,7,6,7,7,7,6,6,6,6,7,7,7,4,6,5,4,6,5,5,3,3,7,6,6,6,6,5,6,5,2,6,6,6,6,6,6,6,6,7,7,8,8,8,4.85,5.93333333333333,18,"White"
"2","genes","Female scientist","Women","Pictured",1.11279747881881,0.779059896081781,0.906289735817475,0.739785984419286,0.44681576356994,0.757844084452551,1.15184962960273,0.375421046569826,0.610845537211331,6.83333333333333,7,7,6,6,6.2,6.25,6,6.33333333333333,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,6,4,7,7,6,6,6,6,7,7,6,6,6,7,6,6,6,6,6,6,7,6,8,8,8,5.1,6.13333333333333,19,"Asian"
"3","genes","Male scientist","Men","Not pictured",-0.952948117220525,-0.467435937649068,0.0888042291472151,-0.408334527196789,0.297581075141013,0.409266928564724,-0.805275404766514,0.375421046569826,0.0391349508519797,5.33333333333333,5.83333333333333,6.33333333333333,4.5,5.8,5.8,4.25,6,5.66666666666667,5,5,5,5,6,6,6,6,5,4,3,5,6,6,6,6,6,5,6,6,6,6,6,5,6,7,6,4,4,5,5,6,6,6,6,5,6,6,6,6,5,2,4,4,5,3,5,6,6,6,6,6,6,5,6,6,7,8,4.35,4.73333333333333,19,"Asian"
"4","genes","Male scientist","Women","Not pictured",-1.41200269411815,0.779059896081781,0.0888042291472151,1.50519965883,-3.28405144715321,1.4549983962282,-1.04991603406267,1.25384355107861,1.18255612357068,5,7,6.33333333333333,7,1,7,4,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,5,7,7,7,7,1,1,1,1,1,7,7,7,7,7,1,7,7,7,1,1,7,7,7,7,7,7,7,7,6,8,8,4.4,7,21,"Asian"
"5","shell","Male scientist","Women","Not pictured",-0.340875348023686,-0.289365104258947,-0.319938524187914,0.165725728611249,-0.299357678574691,1.28070981828429,0.662568371010422,-0.327316957037202,0.324990244031655,5.77777777777778,6,6,5.25,5,6.8,5.75,5.2,6,6,6,6,6,7,7,1,6,6,6,6,6,6,6,7,6,6,4,6,6,6,6,6,6,6,6,6,6,6,5,4,5,5,5,5,5,6,7,7,7,7,4,6,5,6,6,6,6,5,5,5,5,6,6,6,8,8,8,4.65,5.73333333333333,20,"White"
"6","against","Male scientist","Women","Not pictured",0.653742901921178,0.422918229301539,0.497546982482345,0.548432565816607,-1.79170456286395,1.4549983962282,1.39649025889889,0.199736545668069,0.896700830391007,6.5,6.66666666666667,6.66666666666667,5.75,3,7,6.5,5.8,6.66666666666667,7,7,7,7,6,7,6,5,6,5,6,6,7,7,7,7,7,7,7,7,7,7,6,6,7,7,6,5,6,6,6,5,2,3,3,2,7,7,7,7,7,6,7,6,7,6,7,6,5,6,7,5,6,7,7,7,7,7,4.75,6,20,"Asian"
"7","against","Female scientist","Men","Pictured",0.271197421173154,0.244847395911417,0.0888042291472151,0.739785984419286,0.745285140427792,0.234978350620811,-1.04991603406267,0.375421046569826,-0.532575635507372,6.22222222222222,6.5,6.33333333333333,6,6.4,5.6,4,6,5,6,7,6,6,6,6,6,6,6,6,7,6,6,7,6,6,6,7,6,6,6,7,7,7,6,7,6,7,7,6,4,7,7,7,4,7,5,6,6,6,5,4,6,5,5,2,4,6,6,6,6,6,5,5,5,8,8,8,4.8,5.8,19,"White"
"8","against","Male scientist","Men","Not pictured",-2.94218461711025,-1.89200260477004,-2.77239504419869,-2.70457555042894,0.44681576356994,-2.03077316265006,-2.27311918054345,-1.5571084633495,-2.24770739458543,3.88888888888889,4.5,4,1.5,6,3,2.75,3.8,3,5,7,3,3,3,5,5,3,2,5,3,5,3,4,3,4,4,3,5,5,4,5,5,3,3,5,4,2,2,1,1,5,6,7,6,6,3,3,3,3,3,2,5,2,3,3,3,5,5,4,3,2,3,3,3,8,8,7,3.9,3.6,20,"White"
"9","shell","Male scientist","Men","Pictured",-1.71803907871657,-2.24814427155028,-0.728681277523043,-0.982394783004826,-0.150122990145765,-0.810753117042668,-1.53919729265498,-0.854370459742473,-0.818430928687048,4.77777777777778,4.16666666666667,5.66666666666667,3.75,5.2,4.4,3.5,4.6,4.66666666666667,5,4,6,5,5,3,5,4,5,4,5,5,5,6,4,5,5,5,4,5,3,5,4,4,6,5,6,4,5,3,3,6,6,5,6,3,4,5,4,4,5,4,5,5,2,4,3,5,5,5,4,4,5,5,4,2,6,4,4.2,5.26666666666667,19,"Asian"
"10","shell","Male scientist","Women","Not pictured",0.653742901921178,0.779059896081781,0.906289735817475,0.357079147213928,0.894519828856718,-0.287887383210928,-0.805275404766514,0.375421046569826,0.324990244031655,6.5,7,7,5.5,6.6,5,4.25,6,6,6,7,6,6,7,7,7,5,6,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,3,7,7,7,7,6,6,5,5,5,5,5,5,7,6,6,3,2,6,6,6,6,6,6,6,6,8,8,8,4.9,6.4,19,"White"
"11","genes","Male scientist","Men","Not pictured",0.118179228873943,0.779059896081781,-0.728681277523043,-1.55645503881286,0.745285140427792,-0.985041694986581,-1.04991603406267,-0.327316957037202,-1.96185210140575,6.11111111111111,7,5.66666666666667,3,6.4,4.2,4,5.2,3.33333333333333,5,6,6,6,5,6,6,6,6,7,5,5,6,7,7,7,7,7,7,7,7,7,7,7,6,6,5,2,4,3,3,5,7,7,6,7,4,4,5,3,5,6,7,4,3,5,4,5,5,5,6,5,3,3,4,7,7,7,4.65,5.93333333333333,18,"All other races"
"12","shell","Female scientist","Men","Pictured",0.959779286519598,0.779059896081781,0.906289735817475,1.12249282162464,-0.747061743861469,0.583555506508638,0.907209000306579,-0.327316957037202,1.18255612357068,6.72222222222222,7,7,6.5,4.4,6,6,5.2,7,7,7,7,7,7,7,7,7,6,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,5,5,4,4,4,6,6,6,6,6,3,7,6,6,6,6,6,6,6,4,4,7,7,7,8,8,8,4.95,6.46666666666667,20,"Asian"
"13","genes","Male scientist","Men","Pictured",1.18930657496841,0.779059896081781,0.906289735817475,0.931139403021965,-1.04553112071932,0.583555506508638,1.8857715174912,1.25384355107861,1.18255612357068,6.88888888888889,7,7,6.25,4,6,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,6,6,4,6,2,2,6,6,6,6,6,3,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,5.1,6.46666666666667,19,"White"
"14","against","Female scientist","Men","Not pictured",-0.0348389634252659,-0.289365104258947,0.0888042291472151,-0.599687945799468,1.19298920571457,0.234978350620811,-1.04991603406267,-0.151632456135445,-0.246720342327697,6,6,6.33333333333333,4.25,7,5.6,4,5.4,5.33333333333333,6,5,6,5,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,7,6,5,6,3,3,7,7,7,7,7,6,6,5,6,5,6,6,6,5,3,2,5,6,5,5,6,6,5,5,7,7,7,4.65,5.93333333333333,18,"White"
"15","genes","Female scientist","Men","Pictured",0.883270190369993,0.779059896081781,0.906289735817475,1.50519965883,-1.04553112071932,1.4549983962282,0.662568371010422,0.72679004837334,0.610845537211331,6.66666666666667,7,7,7,4,7,5.75,6.4,6.33333333333333,7,7,7,7,7,7,7,7,6,3,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,2,3,7,7,7,7,7,3,7,6,5,6,6,7,6,7,6,6,6,6,7,8,8,8,4.9,6.33333333333333,21,"White"
"16","against","Female scientist","Women","Pictured",0.347706517322758,-0.111294270868825,0.497546982482345,0.931139403021965,0.44681576356994,0.409266928564724,0.907209000306579,-0.327316957037202,-0.246720342327697,6.27777777777778,6.16666666666667,6.66666666666667,6.25,6,5.8,6,5.2,5.33333333333333,7,7,6,7,6,7,7,6,6,5,7,6,6,6,6,6,6,6,6,6,6,7,6,6,6,7,7,7,6,6,6,7,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,5,6,5,5,5,5,5,6,8,8,8,4.95,5.73333333333333,18,"Black/African American"
"17","against","Female scientist","Women","Not pictured",-0.111348059574871,0.779059896081781,0.0888042291472151,-0.408334527196789,1.19298920571457,-0.985041694986581,-1.04991603406267,-0.151632456135445,-0.532575635507372,5.94444444444444,7,6.33333333333333,4.5,7,4.2,4,5.4,5,6,6,6,6,6,7,6,6,5,5,4,5,7,7,7,4,7,7,7,7,7,7,7,7,6,7,6,6,4,4,4,7,7,7,7,7,4,4,4,6,3,6,7,5,4,3,4,5,5,5,7,5,5,5,5,8,8,8,4.5,5.8,18,"White"
"18","against","Male scientist","Men","Not pictured",0.883270190369993,0.779059896081781,0.906289735817475,0.739785984419286,-0.150122990145765,-0.462175961154842,-0.0713535168780458,-0.854370459742473,-0.818430928687048,6.66666666666667,7,7,6,5.2,4.8,5,4.6,4.66666666666667,6,6,7,7,6,6,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,5,6,5,5,5,5,5,4,5,5,5,5,7,5,5,5,5,4,5,4,5,5,4,5,5,8,8,8,5,6.53333333333333,18,"White"
"19","shell","Female scientist","Men","Not pictured",-0.187857155724475,-0.289365104258947,-0.319938524187914,0.739785984419286,-0.150122990145765,0.234978350620811,0.907209000306579,0.375421046569826,0.324990244031655,5.88888888888889,6,6,6,5.2,5.6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,6,5,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,4.7,5.6,19,"Asian"
"20","shell","Female scientist","Women","Not pictured",0.118179228873943,-0.645506771039189,-0.728681277523043,0.165725728611249,-1.4932351860061,0.409266928564724,-0.315994146174202,-0.327316957037202,0.0391349508519797,6.11111111111111,5.66666666666667,5.66666666666667,5.25,3.4,5.8,4.75,5.2,5.66666666666667,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,4,6,6,6,6,5,4,5,6,6,5,3,5,2,2,6,5,6,6,6,5,4,5,5,4,5,5,5,6,5,5,6,6,5,7,4,7,4.85,5.73333333333333,19,"Asian"
"21","against","Male scientist","Men","Pictured",-0.264366251874081,-0.467435937649068,-0.319938524187914,-0.982394783004826,0.44681576356994,-0.113598805267015,-0.0713535168780458,-0.151632456135445,0.324990244031655,5.83333333333333,5.83333333333333,6,3.75,6,5.2,5,5.4,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,7,4,6,6,6,5,6,6,6,6,6,6,3,4,5,3,7,7,7,2,7,6,5,5,5,5,5,5,5,5,4,6,6,5,5,6,5,6,6,6,8,8,8,4.7,5.53333333333333,20,"All other races"
"22","genes","Female scientist","Men","Not pictured",0.577233805771573,0.779059896081781,0.497546982482345,1.50519965883,-0.597827055432544,0.583555506508638,-0.0713535168780458,1.25384355107861,0.896700830391007,6.44444444444444,7,6.66666666666667,7,4.6,6,5,7,6.66666666666667,6,6,5,6,6,7,6,7,7,5,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,5,5,5,3,5,6,6,6,6,6,3,7,6,6,3,5,7,7,7,7,7,7,6,7,8,8,8,4.8,6.33333333333333,20,"White"
"23","genes","Male scientist","Men","Pictured",-0.264366251874081,-0.289365104258947,-0.319938524187914,-0.408334527196789,0.44681576356994,-0.287887383210928,-0.315994146174202,0.375421046569826,0.324990244031655,5.83333333333333,6,6,4.5,6,5,4.75,6,6,5,6,5,6,6,7,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,6,6,6,6,6,5,5,5,5,5,2,7,5,5,3,6,6,6,6,6,6,6,6,6,7,7,7,4.7,5.46666666666667,18,"Asian"
"24","genes","Female scientist","Men","Pictured",1.34232476726762,0.779059896081781,0.906289735817475,1.12249282162464,1.19298920571457,-0.636464539098755,-0.805275404766514,0.375421046569826,0.324990244031655,7,7,7,6.5,7,4.6,4.25,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,5,5,5,5,3,3,6,5,6,1,5,6,6,6,6,6,6,6,6,8,8,8,5.2,6.33333333333333,19,"Asian"
"25","shell","Female scientist","Women","Not pictured",0.347706517322758,0.779059896081781,0.497546982482345,0.739785984419286,-1.34400049757717,0.583555506508638,0.662568371010422,0.375421046569826,0.324990244031655,6.27777777777778,7,6.66666666666667,6,3.6,6,5.75,6,6,7,6,7,7,7,7,6,6,6,2,6,7,6,7,6,7,6,7,7,7,7,7,7,7,7,7,6,6,6,6,6,4,3,5,2,4,6,6,6,6,6,3,7,6,5,6,6,6,6,6,6,6,6,6,6,8,8,7,4.8,6.06666666666667,18,"All other races"
"26","shell","Female scientist","Women","Not pictured",-0.187857155724475,0.600989062691659,0.497546982482345,0.165725728611249,0.745285140427792,-1.15933027293049,-0.0713535168780458,-0.327316957037202,-0.532575635507372,5.88888888888889,6.83333333333333,6.66666666666667,5.25,6.4,4,5,5.2,5,6,6,6,5,7,7,6,6,3,5,6,6,5,6,7,6,7,6,7,7,6,7,7,7,6,7,7,5,5,5,6,6,6,7,6,7,3,6,5,5,1,2,7,5,5,5,5,5,5,5,6,5,5,5,5,8,8,8,4.7,5.66666666666667,18,"White"
"27","against","Female scientist","Men","Not pictured",-0.0348389634252659,-0.289365104258947,-0.319938524187914,-0.408334527196789,0.297581075141013,0.0606897726768983,-0.0713535168780458,0.375421046569826,0.0391349508519797,6,6,6,4.5,5.8,5.4,5,6,5.66666666666667,6,6,6,6,6,7,7,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4,3,6,5,6,6,6,5,5,6,6,5,5,6,5,5,5,5,6,6,6,6,6,6,6,5,3,7,7,4.8,5.66666666666667,20,"Asian"
"28","against","Male scientist","Women","Not pictured",0.806761094220387,0.600989062691659,0.906289735817475,0.548432565816607,1.19298920571457,-0.985041694986581,0.17328711241811,1.25384355107861,1.18255612357068,6.61111111111111,6.83333333333333,7,5.75,7,4.2,5.25,7,7,6,7,6,6,7,7,7,7,7,5,7,6,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,4,7,6,6,7,7,7,7,7,7,4,4,3,3,6,5,6,6,4,5,7,7,7,7,7,7,7,7,4,1,1,5,6.33333333333333,18,"Asian"
"29","genes","Male scientist","Men","Pictured",-0.187857155724475,-0.289365104258947,0.497546982482345,0.739785984419286,-1.04553112071932,0.409266928564724,-0.0713535168780458,0.375421046569826,0.324990244031655,5.88888888888889,6,6.66666666666667,6,4,5.8,5,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,5,5,5,2,3,6,6,6,6,5,5,7,6,6,3,5,6,6,6,6,6,6,6,6,7,8,7,4.7,5.66666666666667,19,"White"
"30","genes","Female scientist","Men","Not pictured",1.0362883826692,-0.289365104258947,0.906289735817475,-0.599687945799468,0.148346386712087,1.10642124034038,-1.29455666335883,0.551105547471583,-0.818430928687048,6.77777777777778,6,7,4.25,5.6,6.6,3.75,6.2,4.66666666666667,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,6,6,1,7,7,7,7,7,7,7,7,6,5,3,3,1,7,7,7,6,7,7,7,7,5,5,7,4,4,3,4,7,7,7,5,5,7,3,4,8,8,8,5.1,6.2,21,"White"
"31","against","Female scientist","Men","Pictured",-0.72342082877171,0.779059896081781,0.0888042291472151,1.12249282162464,-0.150122990145765,0.234978350620811,0.907209000306579,0.375421046569826,0.0391349508519797,5.5,7,6.33333333333333,6.5,5.2,5.6,6,6,5.66666666666667,5,5,5,6,6,7,6,6,5,1,5,5,6,7,7,6,7,4,7,7,7,7,7,7,6,7,6,7,7,6,6,7,7,7,1,4,6,5,5,6,6,3,7,6,5,7,6,6,6,6,6,6,6,5,6,8,8,8,4.35,5.53333333333333,19,"Asian"
"32","against","Male scientist","Women","Pictured",0.0416701327243387,0.422918229301539,0.497546982482345,-0.599687945799468,0.894519828856718,-0.636464539098755,-0.805275404766514,-1.03005496064423,-0.532575635507372,6.05555555555556,6.66666666666667,6.66666666666667,4.25,6.6,4.6,4.25,4.4,5,6,6,6,6,6,7,6,5,4,7,6,6,6,6,7,6,6,7,6,6,7,7,7,7,6,7,7,5,5,3,4,6,7,7,6,7,5,5,5,5,3,2,6,5,6,2,4,5,5,5,4,3,5,5,5,7,8,8,4.75,5.66666666666667,18,"All other races"
"33","genes","Male scientist","Women","Not pictured",-0.187857155724475,0.600989062691659,0.906289735817475,-0.0256276899914305,-0.597827055432544,-0.985041694986581,0.17328711241811,-1.03005496064423,-0.246720342327697,5.88888888888889,6.83333333333333,7,5,4.6,4.2,5.25,4.4,5.33333333333333,7,6,6,6,6,5,6,6,6,4,5,6,6,7,5,6,7,6,7,7,6,7,7,7,7,7,7,7,5,3,5,5,5,5,5,3,6,3,3,5,4,7,7,5,5,6,5,5,5,5,4,3,6,5,5,7,8,8,4.55,5.86666666666667,18,"All other races"
"34","genes","Male scientist","Men","Pictured",1.0362883826692,0.779059896081781,0.906289735817475,-0.21698110859411,0.297581075141013,0.409266928564724,-0.560634775470358,0.902474549275096,-1.10428622186672,6.77777777777778,7,7,4.75,5.8,5.8,4.5,6.6,4.33333333333333,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,6,3,4,6,6,6,5,6,6,6,6,6,5,7,7,4,5,4,5,7,7,7,6,6,5,4,4,3,7,8,5.05,6.46666666666667,20,"Asian"
"35","shell","Female scientist","Women","Not pictured",-2.63614823251183,-3.67271093867125,-0.728681277523043,-0.982394783004826,1.19298920571457,-2.20506174059397,-1.53919729265498,-3.13826897146531,-2.81941798094478,4.11111111111111,2.83333333333333,5.66666666666667,3.75,7,2.8,3.5,2,2.33333333333333,5,5,3,3,6,6,5,6,2,6,5,5,3,3,4,3,1,3,2,1,1,7,5,1,5,6,6,3,4,4,4,7,7,7,7,7,3,3,3,3,2,1,1,5,2,2,5,2,2,2,2,2,2,3,2,7,8,8,4.45,4.13333333333333,19,"White"
"36","genes","Female scientist","Men","Not pictured",1.0362883826692,0.779059896081781,0.906289735817475,1.50519965883,-0.448592367003617,1.28070981828429,1.64113088819505,1.25384355107861,1.18255612357068,6.77777777777778,7,7,7,4.8,6.8,6.75,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,4,7,7,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,5,5.93333333333333,19,"Asian"
"37","against","Female scientist","Women","Pictured",0.730251998070783,0.600989062691659,0.906289735817475,-2.1305152946209,-0.150122990145765,-1.33361885087441,-0.315994146174202,-1.90847746515301,-1.67599680822608,6.55555555555556,6.83333333333333,7,2.25,5.2,3.8,4.75,3.4,3.66666666666667,6,7,7,7,7,7,7,6,6,6,6,6,6,6,7,7,7,7,7,7,6,7,7,7,7,7,7,2,3,2,2,6,6,6,3,5,4,4,4,4,3,7,6,3,6,5,5,3,3,3,5,3,3,5,3,8,8,8,5.05,6.2,18,"Asian"
"38","shell","Male scientist","Women","Not pictured",-2.63614823251183,-2.24814427155028,-2.77239504419869,-0.982394783004826,-0.597827055432544,-1.50790742881832,-1.29455666335883,-1.20573946154599,-0.818430928687048,4.11111111111111,4.16666666666667,4,3.75,4.6,3.6,3.75,4.2,4.66666666666667,4,4,4,4,5,5,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4,4,5,4,5,3,4,4,4,4,3,2,3,4,7,7,5,4,4,4,1,2,5,3,5,3,4,5,5,4,3,4,5,4,5,8,8,8,4.2,4.13333333333333,19,"Asian"
"39","against","Female scientist","Women","Not pictured",0.194688325023549,-0.289365104258947,0.0888042291472151,-0.21698110859411,1.19298920571457,1.4549983962282,-0.805275404766514,0.375421046569826,-0.532575635507372,6.16666666666667,6,6.33333333333333,4.75,7,7,4.25,6,5,6,7,6,6,6,7,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,7,5,6,3,5,7,7,7,7,7,7,7,7,7,7,5,7,6,4,3,4,6,6,6,6,6,3,6,6,7,7,8,4.85,4.86666666666667,18,"Asian"
"40","shell","Female scientist","Men","Pictured",-0.111348059574871,0.0667765625212955,-0.728681277523043,-0.791041364402147,-0.299357678574691,-0.287887383210928,-0.560634775470358,-0.327316957037202,0.0391349508519797,5.94444444444444,6.33333333333333,5.66666666666667,4,5,5,4.5,5.2,5.66666666666667,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,5,4,4,4,4,6,5,5,4,5,5,5,5,5,5,2,7,5,5,3,5,5,5,5,5,6,6,6,5,7,7,7,4.75,5.73333333333333,19,"Asian"
"41","genes","Male scientist","Women","Not pictured",-1.10596630951973,-0.823577604429311,-0.728681277523043,-0.791041364402147,-0.747061743861469,-0.636464539098755,-1.04991603406267,-0.678685958840716,-0.246720342327697,5.22222222222222,5.5,5.66666666666667,4,4.4,4.6,4,4.8,5.33333333333333,6,6,6,6,6,7,6,6,6,3,5,5,5,4,5,5,2,5,3,6,6,6,6,6,6,6,5,3,3,5,5,6,5,5,3,3,5,3,5,5,5,2,2,3,3,5,5,5,5,6,5,3,6,5,5,8,8,8,4.75,5.2,18,"White"
"42","against","Female scientist","Men","Pictured",-0.340875348023686,0.0667765625212955,-0.319938524187914,-0.599687945799468,-0.896296432290395,-0.287887383210928,-1.04991603406267,0.375421046569826,0.324990244031655,5.77777777777778,6.33333333333333,6,4.25,4.2,5,4,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,5,6,6,6,6,7,7,6,5,7,5,6,3,3,5,4,4,4,4,5,5,5,5,5,2,6,6,6,2,2,7,5,6,6,6,6,6,6,8,8,8,4.65,5.93333333333333,18,"Asian"
"43","shell","Female scientist","Men","Not pictured",-0.41738444417329,-1.00164843781943,-0.728681277523043,-1.55645503881286,1.19298920571457,-2.90221605236963,-2.02847855124729,-1.73279296425126,-3.10527327412446,5.72222222222222,5.33333333333333,5.66666666666667,3,7,2,3,3.6,2,5,6,6,6,6,7,6,6,5,5,5,4,6,7,7,6,5,5,6,5,5,6,5,5,6,6,5,2,4,4,2,7,7,7,7,7,2,2,2,2,2,3,4,2,3,5,2,3,3,3,5,4,2,2,2,8,8,8,4.55,5.13333333333333,19,"All other races"
"44","against","Male scientist","Women","Pictured",-0.264366251874081,0.244847395911417,-0.319938524187914,-0.599687945799468,-0.299357678574691,-1.33361885087441,0.17328711241811,-1.20573946154599,0.0391349508519797,5.83333333333333,6.5,6,4.25,5,3.8,5.25,4.2,5.66666666666667,6,6,6,6,5,6,7,6,6,5,4,6,6,6,6,6,6,6,7,7,7,6,7,5,6,7,5,5,6,3,3,6,6,6,2,5,3,5,4,4,3,6,7,6,6,4,5,4,4,5,4,4,5,6,6,6,7,8,4.65,5.46666666666667,19,"Black/African American"
"45","against","Female scientist","Women","Not pictured",-0.0348389634252659,0.0667765625212955,-0.319938524187914,0.165725728611249,1.19298920571457,-2.37935031853789,-0.560634775470358,-0.854370459742473,-0.532575635507372,6,6.33333333333333,6,5.25,7,2.6,4.5,4.6,5,6,6,6,6,6,7,7,6,4,6,6,5,6,6,7,6,6,6,7,7,7,7,5,5,6,6,6,6,5,5,5,7,7,7,7,7,2,3,2,3,3,6,6,2,6,5,5,5,5,5,4,4,5,5,5,3,8,8,4.75,5.86666666666667,18,"Asian"
"46","against","Male scientist","Men","Not pictured",0.806761094220387,0.600989062691659,0.906289735817475,1.12249282162464,0.297581075141013,0.409266928564724,0.907209000306579,0.375421046569826,0.324990244031655,6.61111111111111,6.83333333333333,7,6.5,5.8,5.8,6,6,6,7,7,7,7,6,7,6,6,6,4,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,6,7,7,7,6,6,5,5,6,6,6,6,5,6,7,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,4.85,6.2,19,"White"
"47","against","Male scientist","Men","Pictured",1.26581567111802,0.779059896081781,0.906289735817475,0.357079147213928,-0.448592367003617,0.409266928564724,0.907209000306579,0.72679004837334,0.324990244031655,6.94444444444444,7,7,5.5,4.8,5.8,6,6.4,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,6,6,6,4,5,4,5,6,6,6,6,5,7,7,6,6,6,6,6,6,7,7,6,6,7,5,8,8,8,5.15,6.2,18,"All other races"
"48","against","Female scientist","Women","Pictured",-0.111348059574871,-0.289365104258947,-0.319938524187914,0.548432565816607,-1.04553112071932,0.583555506508638,0.662568371010422,0.375421046569826,0.324990244031655,5.94444444444444,6,6,5.75,4,6,5.75,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,3,5,3,3,6,6,6,6,6,5,7,6,6,6,5,6,6,6,6,6,6,6,6,8,8,8,4.75,5.73333333333333,20,"White"
"49","shell","Male scientist","Men","Not pictured",0.194688325023549,0.779059896081781,0.0888042291472151,0.739785984419286,1.19298920571457,-0.113598805267015,0.417927741714266,0.199736545668069,0.0391349508519797,6.16666666666667,7,6.33333333333333,6,7,5.2,5.5,5.8,5.66666666666667,6,6,7,6,6,7,6,7,6,3,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,7,7,7,7,7,5,5,6,5,5,2,7,5,6,5,6,6,6,6,5,6,6,6,5,7,6,8,4.8,5.4,18,"White"
"50","genes","Female scientist","Women","Not pictured",-1.10596630951973,-0.823577604429311,-0.728681277523043,-0.408334527196789,-1.34400049757717,0.234978350620811,0.17328711241811,-0.151632456135445,0.324990244031655,5.22222222222222,5.5,5.66666666666667,4.5,3.6,5.6,5.25,5.4,6,5,5,5,5,5,7,5,5,5,5,5,6,4,5,6,5,5,6,6,5,6,6,5,5,6,5,6,2,4,6,6,4,3,3,3,5,5,6,6,6,5,1,6,5,6,5,5,6,5,5,5,6,6,6,6,6,8,8,4.6,5.26666666666667,22,"White"
